BEA_Summary,BEA_Detail,DnB_Share_RoUS,X_Share_US,alpha_RoUS,RoUS_Share_Used,DetailedOutput_CA_RoUS,D_cal_RoUS,RoUS_Direct_Emissions,RoUS_Output_Weight,RoUS_Emissions_Weight
311FT,311940,0.017755372107769774,0.02283543878792966,0.2,0.021819425451897682,22713700974.07063,0.022633908972333246,514099840.2719116,0.021819425451897682,0.008031032066652035
311FT,311990,0.047357854996414546,0.03129642842153859,0.2,0.034508713736513784,35923063443.57967,0.03065302887855842,1101150701.142334,0.034508713736513784,0.01720167153993497
311FT,312110,0.1352712510788713,0.04725416544256516,0.2,0.06485758256982639,67515789526.16318,0.03849795375080823,2599219742.6275325,0.06485758256982639,0.04060381946486526
311FT,312120,0.02047098984265916,0.034067444495740125,0.2,0.03134815356512394,32632966790.862232,0.052752995233019975,1721486741.5576544,0.03134815356512394,0.026892276831779457
311FT,312130,0.011810531004772777,0.023156503126705,0.2,0.020887308702318554,21743381147.38511,0.01766600483457512,384118676.4697149,0.020887308702318554,0.006000525902705215
311FT,312140,0.010097625034151889,0.017089856045662485,0.2,0.015691409843360364,16334526856.786598,0.21410076068965905,3497234625.5436764,0.015691409843360364,0.05463219635993655
311FT,312200,0.059964297807678237,0.06376169891299786,0.2,0.06300221869193394,65584383018.07494,0.00780762957658158,512058568.6137766,0.06300221869193394,0.007999144256427159
313TT,313100,0.06548811886631643,0.14247479524279075,0.2,0.1270774599674959,6202268583.58911,0.030545493335839235,189451353.68710622,0.1270774599674959,0.06624387834013795
313TT,313200,0.3469203327988772,0.2671804881975329,0.2,0.28312845711780177,13818648367.310469,0.07188069670672896,993294072.1875792,0.28312845711780177,0.34731687260808647
313TT,313300,0.087626077168846,0.14162960577948605,0.2,0.13082890005735806,6385365090.385203,0.09441326418200492,602863161.1770899,0.13082890005735806,0.21079814489329832
313TT,314110,0.2896301745133356,0.19624494395588915,0.2,0.21492199006737844,10489695869.41941,0.05070563306197292,531886669.68647367,0.21492199006737847,0.1859803857387264
313TT,314120,0.04828267952999806,0.0705934437445918,0.2,0.06613129090167305,3227669392.0113893,0.057350353404831834,185107980.30581188,0.06613129090167305,0.06472516711291997
313TT,314900,0.1620526171226267,0.18187672307970942,0.2,0.17791190188829287,8683344788.372314,0.04114821057153829,357304099.8172136,0.17791190188829287,0.12493555130683079
315AL,315000,0.5731056709933778,0.6926506177556999,0.2,0.6687416284032356,8722655946.231707,0.029601672269630664,258205202.64109614,0.6687416284032356,0.5923022830280867
315AL,316000,0.4268943290066221,0.3073493822443001,0.2,0.3312583715967645,4320731179.314708,0.041134158266630416,177729640.1574959,0.3312583715967645,0.4076977169719133
321,321100,0.08143143002665697,0.30436867243255206,0.2,0.25978122395137304,42280944589.87703,0.0546384662735747,2310165964.988877,0.25978122395137304,0.3095022777956094
321,321200,0.1769456062484006,0.2265568812584137,0.2,0.2166346262564111,35258578313.22927,0.08263703966172493,2913664534.486362,0.2166346262564111,0.3903554220011007
321,321910,0.4829262847660372,0.23656112268795987,0.2,0.28583415510357535,46521214620.54075,0.019297870018014442,897760352.8273485,0.28583415510357535,0.12027658545995079
321,3219A0,0.2586966789589052,0.23251332362107438,0.2,0.23774999468864055,38695230543.5115,0.03469527075391582,1342541500.5923245,0.23774999468864058,0.17986571474333907
